State,State ABBR,2015 Prescribing Rate
Alabama,AL,125
Alaska,AK,60.8
Arizona,AZ,75.5
Arkansas,AR,117.2
California,CA,47.7
Colorado,CO,65.1
Connecticut,CT,62.3
Delaware,DE,84.4
District of Columbia,DC,35.7
Florida,FL,67.1
Georgia,GA,79.4
Hawaii,HI,44.3
Idaho,ID,81.9
Illinois,IL,59.1
Indiana,IN,89.1
Iowa,IA,68.6
Kansas,KS,80.5
Kentucky,KY,102.6
Louisiana,LA,100.4
Maine,ME,76.5
Maryland,MD,63
Massachusetts,MA,54
Michigan,MI,90.5
Minnesota,MN,52.1
Mississippi,MS,110.9
Missouri,MO,84.5
Montana,MT,73.3
Nebraska,NE,65.5
Nevada,NV,85.4
New Hampshire,NH,74.8
New Jersey,NJ,56
New Mexico,NM,69.8
New York,NY,45.1
North Carolina,NC,88.4
North Dakota,ND,53
Ohio,OH,82.7
Oklahoma,OK,104.4
Oregon,OR,84.2
Pennsylvania,PA,75.5
Rhode Island,RI,65.7
South Carolina,SC,95.1
South Dakota,SD,59.1
Tennessee,TN,114.9
Texas,TX,59.8
Utah,UT,74.4
Vermont,VT,60.1
Virginia,VA,68.1
Washington,WA,69.8
West Virginia,WV,111.3
Wisconsin,WI,67.5
Wyoming,WY,75.4
