State,Range Category,Age Adjusted Rate,Deaths,Year
Alabama,16.1 to 18.5,16.6,775,2018
Alaska,13.6 to 16.0,14.6,110,2018
Arizona,21.1 to 57.0,23.8,"1,670",2018
Arkansas,13.6 to 16.0,15.7,444,2018
California,11.1 to 13.5,12.8,"5,348",2018
Colorado,16.1 to 18.5,16.8,995,2018
Connecticut,21.1 to 57.0,30.7,"1,069",2018
Delaware,21.1 to 57.0,43.8,401,2018
Florida,21.1 to 57.0,22.8,"4,698",2018
Georgia,11.1 to 13.5,13.2,"1,404",2018
Hawaii,13.6 to 16.0,14.3,213,2018
Idaho,13.6 to 16.0,14.6,250,2018
Illinois,21.1 to 57.0,21.3,"2,722",2018
Indiana,21.1 to 57.0,25.6,"1,629",2018
Iowa,6.9 to 11.0,9.6,287,2018
Kansas,11.1 to 13.5,12.4,345,2018
Kentucky,21.1 to 57.0,30.9,"1,315",2018
Louisiana,21.1 to 57.0,25.4,"1,140",2018
Maine,21.1 to 57.0,27.9,345,2018
Maryland,21.1 to 57.0,37.2,"2,324",2018
Massachusetts,21.1 to 57.0,32.8,"2,241",2018
Michigan,21.1 to 57.0,26.6,"2,591",2018
Minnesota,11.1 to 13.5,11.5,636,2018
Mississippi,6.9 to 11.0,10.8,310,2018
Missouri,21.1 to 57.0,27.5,"1,610",2018
Montana,11.1 to 13.5,12.2,125,2018
Nebraska,6.9 to 11.0,7.4,138,2018
Nevada,11.1 to 13.5,21.2,688,2018
New Hampshire,21.1 to 57.0,35.8,452,2018
New Jersey,21.1 to 57.0,33.1,"2,900",2018
New Mexico,21.1 to 57.0,26.7,537,2018
New York,16.1 to 18.5,18.4,"3,697",2018
North Carolina,21.1 to 57.0,22.4,"2,259",2018
North Dakota,6.9 to 11.0,10.2,70,2018
Ohio,21.1 to 57.0,35.9,"3,980",2018
Oklahoma,16.1 to 18.5,18.4,716,2018
Oregon,11.1 to 13.5,12.6,547,2018
Pennsylvania,21.1 to 57.0,36.1,"4,415",2018
Rhode Island,21.1 to 57.0,30.1,317,2018
South Carolina,21.1 to 57.0,22.6,"1,125",2018
South Dakota,6.9 to 11.0,6.9,57,2018
Tennessee,21.1 to 57.0,27.5,"1,823",2018
Texas,6.9 to 11.0,10.4,"3,005",2018
Utah,21.1 to 57.0,21.2,624,2018
Vermont,21.1 to 57.0,26.6,153,2018
Virginia,16.1 to 18.5,17.1,"1,448",2018
Washington,13.6 to 16.0,14.8,"1,164",2018
Washington D.C.,21.1 to 57.0,35.4,254,2018
West Virginia,21.1 to 57.0,51.5,856,2018
Wisconsin,18.6 to 21.0,19.2,"1,079",2018
Wyoming,11.1 to 13.5,11.1,66,2018
